Billed Amount (Rs crore),Collected Amount (Rs crore)
"2,049","1,840"
"3,289","3,123"
"2,867","2,435"
"2,862","2,714"
"2,067","1,809"
986,841
"2,573","2,334"
130,120
"14,932","15,179"
131,117
"3,619","3,314"
142,99
544,461
198,188
105,35
496,490
"8,820","8,738"
"4,734","4,705"
"6,581","6,562"
"11,522","10,643"
"7,768","7,367"
"4,351","4,259"
"2,012","1,674"
"17,502","16,964"
"8,302","8,430"
"9,950","10,005"
"11,460","11,261"
"5,710","3,859"
"2,102","2,061"
"5,904","5,248"
"11,781","10,747"
"5,909","5,016"
"4,667","4,995"
"7,381","7,297"
"11,906","11,455"
"12,532","12,483"
"1,734","1,766"
"3,501","3,490"
"2,445","2,464"
"1,832","1,825"
"10,873","10,656"
"1,112",985
"41,444","41,333"
"3,635","3,533"
"15,720","15,325"
"9,210","8,701"
"1,235","1,249"
"10,825","10,726"
"5,089","5,150"
"11,431","11,441"
"8,199","8,234"
"5,926","5,272"
"6,333","6,038"
"6,206","5,931"
"41,548","37,597"
