Billed Amount (Rs crore),Collected Amount (Rs crore)
2049,1840
3289,3123
2867,2435
2862,2714
2067,1809
986,841
2573,2334
130,120
14932,15179
3619,3314
544,461
198,188
105,35
496,490
8820,8738
4734,4705
6581,6562
11522,10643
7768,7367
4351,4259
2012,1674
17502,16964
8302,8430
9950,10005
11460,11261
5710,3859
2102,2061
5904,5248
11781,10747
5909,5016
4667,4995
7381,7297
11906,11455
12532,12483
1734,1766
3501,3490
2445,2464
1832,1825
10873,10656
1112,985
41444,41333
3635,3533
15720,15325
9210,8701
1235,1249
10825,10726
5089,5150
11431,11441
8199,8234
5926,5272
6333,6038
6206,5931
41548,37597
