,ACTUAL GENERATION,Total Consumption  in '000 Tonnes
ANPARA C TPS,588.04,363
ANPARA TPS,1632,994
BARKHERA TPS,212,137
BADARPUR TPS,40,29
CHABBRA TPP,709.02,356
ANPARA C TPS,1008,604
ANPARA TPS,220,170
BARKHERA TPS,45,17
BADARPUR TPS,278,188
CHABBRA TPP,541,366
ANPARA C TPS,580,236
ANPARA TPS,615,222
BARKHERA TPS,50,28
BADARPUR TPS,200,170
CHABBRA TPP,52,29
ANPARA C TPS,790,420
ANPARA TPS,215,162
BARKHERA TPS,70,27
BADARPUR TPS,621,344
CHABBRA TPP,69,40
ANPARA C TPS,120,72
ANPARA TPS,735,406
BARKHERA TPS,410,242
BADARPUR TPS,0,0
CHABBRA TPP,287,152
ANPARA C TPS,421,238
ANPARA TPS,1891,941
BARKHERA TPS,273,148
BADARPUR TPS,800,408
CHABBRA TPP,1500,815
ANPARA C TPS,145,83
ANPARA TPS,430,264
BARKHERA TPS,252,140
BADARPUR TPS,786,396
CHABBRA TPP,45,30
ANPARA C TPS,285,197
ANPARA TPS,754,400
BARKHERA TPS,654,326
BADARPUR TPS,172,82
CHABBRA TPP,330,194
ANPARA C TPS,466,285
ANPARA TPS,481,229
BARKHERA TPS,258,148
BADARPUR TPS,793,562
CHABBRA TPP,315,191
ANPARA C TPS,791,515
ANPARA TPS,320,142
BARKHERA TPS,277,179
BADARPUR TPS,1777,946
CHABBRA TPP,487,218
ANPARA C TPS,235,124
ANPARA TPS,253,152
BARKHERA TPS,400,203
BADARPUR TPS,454,189
CHABBRA TPP,345,291
ANPARA C TPS,1154,630
ANPARA TPS,1307,590
BARKHERA TPS,250,126
BADARPUR TPS,2365,1215
CHABBRA TPP,1122,609
ANPARA C TPS,356,219
ANPARA TPS,415,236
BARKHERA TPS,815,462
BADARPUR TPS,2615,1381
CHABBRA TPP,1532,808
ANPARA C TPS,389,188
ANPARA TPS,78,34
BARKHERA TPS,785,453
BADARPUR TPS,801,482
CHABBRA TPP,354,194
ANPARA C TPS,412,252
ANPARA TPS,297,144
BARKHERA TPS,315,125
BADARPUR TPS,222,139
CHABBRA TPP,374,194
ANPARA C TPS,813,473
ANPARA TPS,2874,1553
BARKHERA TPS,451,210
BADARPUR TPS,0,0
CHABBRA TPP,285,142
ANPARA C TPS,1847,1177
ANPARA TPS,689,357
BARKHERA TPS,1945,960
BADARPUR TPS,478,237
CHABBRA TPP,654,334
ANPARA C TPS,3725,1982
ANPARA TPS,789,440
BARKHERA TPS,140,71
BADARPUR TPS,332,184
CHABBRA TPP,686,346
ANPARA C TPS,1587,881
ANPARA TPS,0,0
BARKHERA TPS,612,337
BADARPUR TPS,540,388
CHABBRA TPP,769,361
ANPARA C TPS,678,484
ANPARA TPS,921,469
BARKHERA TPS,412,224
BADARPUR TPS,1158,643
CHABBRA TPP,800,433
ANPARA C TPS,1325,758
ANPARA TPS,58,30
BARKHERA TPS,1455,995
BADARPUR TPS,745,478
CHABBRA TPP,1524,732
ANPARA C TPS,22,13
ANPARA TPS,810,428
BARKHERA TPS,144,94
BADARPUR TPS,44,33
CHABBRA TPP,445,172
ANPARA C TPS,545,309
ANPARA TPS,655,471
BARKHERA TPS,654,340
BADARPUR TPS,851,524
CHABBRA TPP,442,250
ANPARA C TPS,572,375
ANPARA TPS,247,131
BARKHERA TPS,0,0
BADARPUR TPS,989,525
CHABBRA TPP,433,230
ANPARA C TPS,653,316
ANPARA TPS,493,249
BARKHERA TPS,501,239
BADARPUR TPS,233,128
CHABBRA TPP,689,362
ANPARA C TPS,154,49
ANPARA TPS,1397,612
BARKHERA TPS,451,256
BADARPUR TPS,354,254
CHABBRA TPP,1489,1056
ANPARA C TPS,456,420
ANPARA TPS,348,176
BARKHERA TPS,684,308
BADARPUR TPS,254,183
CHABBRA TPP,785,347
ANPARA C TPS,1545,720
ANPARA TPS,154,55
BARKHERA TPS,0,0
BADARPUR TPS,45,26
CHABBRA TPP,675,304
ANPARA C TPS,487,208
ANPARA TPS,28,18
BARKHERA TPS,407,200
BADARPUR TPS,447,250
CHABBRA TPP,2845,1672
ANPARA C TPS,258,74
ANPARA TPS,0,0
BARKHERA TPS,456,48
BADARPUR TPS,1008,347
CHABBRA TPP,305,128
